@relation 'golub-data-test-weka.filters.unsupervised.attribute.Remove-R2,4,6-8,10,12-22,24,26-27,29-34,36-44,46-50,52,54-67,69-79,81-91,93-103,105-115,117-124,126-136,138-142,144-148,150-158,160-170,172-182,184-194,196-206,208-218,220-230,232-242,244-257,259-269,271-274,276-279,281-291,293-302,304-311,313-316,318-321,323-325,327-337,339-356,358-372,374-405,407-441,443-459,461-482,484-503,505-524,526-545,547-566,568-605,607-644,646-666,668-7130-weka.filters.unsupervised.attribute.Remove-R51-52'

@attribute 'Gene Accession Number' {ALL-T-cell-2,ALL-T-cell-3,ALL-T-cell-6,ALL-T-cell-9,ALL-T-cell-10,ALL-T-cell-11,ALL-T-cell-14,ALL-T-cell-23,ALL-B-cell-1,ALL-B-cell-4,ALL-B-cell-5,ALL-B-cell-7,ALL-B-cell-8,ALL-B-cell-12,ALL-B-cell-13,ALL-B-cell-15,ALL-B-cell-16,ALL-B-cell-17,ALL-B-cell-18,ALL-B-cell-19,ALL-B-cell-20,ALL-B-cell-21,ALL-B-cell-22,ALL-B-cell-24,ALL-B-cell-25,ALL-B-cell-26,ALL-B-cell-27,AML-28,AML-29,AML-30,AML-31,AML-32,AML-33,AML-34,AML-35,AML-36,AML-37,AML-38}
@attribute AFFX-BioB-M_at numeric
@attribute AFFX-BioC-5_at numeric
@attribute AFFX-CreX-5_at numeric
@attribute AFFX-BioB-5_st numeric
@attribute AFFX-DapX-3_at numeric
@attribute AFFX-LysX-M_at numeric
@attribute AFFX-PheX-M_at numeric
@attribute AFFX-TrpnX-3_at numeric
@attribute AFFX-HUMGAPDH/M33197_3_at numeric
@attribute AFFX-HUMTFRR/M11507_3_at numeric
@attribute AFFX-M27830_M_at numeric
@attribute AB000460_at numeric
@attribute AB001325_at numeric
@attribute AB003177_at numeric
@attribute AC002045_xpt1_at numeric
@attribute AD000092_cds2_at numeric
@attribute AF000562_at numeric
@attribute AF005775_at numeric
@attribute AF007111_at numeric
@attribute AF009368_at numeric
@attribute AJ001047_at numeric
@attribute D00762_at numeric
@attribute D11094_at numeric
@attribute D13305_at numeric
@attribute D13636_at numeric
@attribute D13900_at numeric
@attribute D14659_at numeric
@attribute D14811_at numeric
@attribute D16294_at numeric
@attribute D17391_at numeric
@attribute D17716_at numeric
@attribute D21205_at numeric
@attribute D23660_at numeric
@attribute D25328_at numeric
@attribute D26135_at numeric
@attribute D26443_at numeric
@attribute D26579_at numeric
@attribute D28114_at numeric
@attribute D28589_at numeric
@attribute D30756_at numeric
@attribute D31886_at numeric
@attribute D38553_at numeric
@attribute D45248_at numeric
@attribute D49817_at numeric
@attribute D50863_at numeric
@attribute D55640_at numeric
@attribute D63483_at numeric
@attribute D64158_at numeric
@attribute D78586_at numeric
@attribute D86965_at numeric

@data
ALL-T-cell-2,-98,237,-118,208,-25,0,-138,-307,14872,442,1930,1505,748,463,46,-600,520,728,265,648,-189,476,380,-602,346,978,68,369,239,-24,408,-423,12094,62,-145,-54,440,207,-31,170,-43,53,1422,-183,233,271,44,121,162,1170
ALL-T-cell-3,-248,295,-452,162,-83,81,-234,-409,21238,-61,2029,1963,521,1037,216,51,550,1758,83,1133,-305,376,163,-26,23,1077,74,323,213,-49,-174,-597,12003,671,-221,26,376,439,298,238,-237,218,866,-802,177,923,61,235,-4,469
ALL-T-cell-6,-200,328,-292,-144,-185,-181,-2,-687,9045,229,27707,2573,1016,311,79,-591,1050,630,415,1373,-511,395,-50,-113,195,2293,-12,238,190,-24,523,-487,11541,-207,-212,-12,318,707,9,147,-284,137,1583,101,258,885,55,337,101,926
ALL-T-cell-9,-23,142,-97,-70,21,-103,-137,-189,21971,81,765,2548,475,749,93,-463,305,258,123,601,-92,646,291,-324,386,1745,67,316,377,-20,225,-363,20619,574,-147,21,134,126,605,104,-82,468,1922,183,411,428,-7,252,324,1216
ALL-T-cell-10,-153,276,-141,500,-12,-15,-120,-149,17735,859,2582,1082,695,887,165,-168,1291,288,300,421,-280,399,583,0,-60,1809,76,315,363,-45,405,-706,12489,-94,-110,8,233,192,197,165,-127,120,1653,517,223,410,110,358,237,1580
ALL-T-cell-11,-36,252,-197,-468,-26,-93,-228,-353,19426,795,1365,884,898,761,62,-370,497,593,564,735,-96,319,170,-235,295,886,28,230,132,-64,74,-581,14193,-40,-209,-31,57,149,98,60,-115,252,1189,-295,-12,192,64,185,233,1591
ALL-T-cell-14,-74,174,-152,17,-41,-1700,-256,-1899,21580,72,9827,1128,719,472,25,-705,588,131,112,689,-121,475,142,2,177,1836,2,-17,416,-136,272,-216,17933,44,-211,-105,174,228,160,54,-17,340,3018,-40,85,455,63,108,179,1400
ALL-T-cell-23,-187,142,-133,97,-54,-664,-178,-1534,17467,89,12263,1604,781,849,518,-1100,834,404,148,477,-188,309,193,38,51,1992,-63,499,109,-129,-125,-291,18328,104,-182,-65,386,137,48,58,-132,338,1268,172,-227,-74,49,217,274,1661
ALL-B-cell-1,-43,177,-62,-40,-93,-137,33,-141,21859,155,15351,785,509,313,72,-691,210,284,283,863,-93,313,85,-69,193,1199,67,8,547,-50,278,-252,13896,157,-144,17,378,129,532,69,-62,77,2059,0,15,-23,168,168,210,1267
ALL-B-cell-4,-218,182,-172,-134,-172,-271,-2,-212,16248,216,851,1548,853,342,260,-647,998,357,130,661,-237,516,271,-75,317,1607,0,214,58,-94,357,-525,14407,182,-98,170,329,172,369,197,-75,380,3065,138,374,247,172,302,264,1754
